year,month,categorie,value,shares
1987,4,7,258031.0,0.04143675776091101
1987,4,8,0.0,0.0
1987,5,0,0.0,0.0
1987,5,1,0.0,0.0
1987,5,2,0.0,0.0
1987,5,3,4358.0,0.0006998437797088342
1987,5,4,509663.0,0.08184591103665524
1987,5,5,1.373556e6,0.220577013006367
1987,5,6,2.077925e6,0.3336904281669296
1987,5,7,2.062721e6,0.33124884376429237
1987,5,8,198881.0,0.03193796024604696
1987,6,0,0.0,0.0
1987,6,1,0.0,0.0
1987,6,2,0.0,0.0
1987,6,3,13703.0,0.002200541375252445
1987,6,4,272306.0,0.043729155639603896
1987,6,5,1.171387e6,0.18811103845383023
1987,6,6,1.608934e6,0.25837596417210956
1987,6,7,1.683978e6,0.2704271520115932
1987,6,8,1.476796e6,0.2371561483476107
1987,7,0,0.0,0.0
1987,7,1,0.0,0.0
1987,7,2,187418.0,0.030097136646505342
1987,7,3,402147.0,0.06458010015570641
1987,7,4,884146.0,0.14198349666233293
1987,7,5,1.618904e6,0.2599770294506082
1987,7,6,1.61125e6,0.2587478866580677
1987,7,7,1.232341e6,0.19789953724877568
1987,7,8,290898.0,0.04671481317800377
1987,8,0,0.0,0.0
1987,8,1,0.0,0.0
1987,8,2,8008.0,0.0012859910481662102
1987,8,3,749469.0,0.12035594716259758
1987,8,4,2.7823e6,0.44680480685724855
1987,8,5,2.52341e6,0.40523010375288415
1987,8,6,163917.0,0.02632315117910348
1987,8,7,0.0,0.0
1987,8,8,0.0,0.0
1987,9,0,0.0,0.0
1987,9,1,56335.0,0.009046741470834596
1987,9,2,1.028799e6,0.16521307497032328
1987,9,3,3.352419e6,0.5383592437190707
1987,9,4,1.750459e6,0.28110322230044654
1987,9,5,39092.0,0.006277717539324861
1987,9,6,0.0,0.0
1987,9,7,0.0,0.0
1987,9,8,0.0,0.0
1987,10,0,0.0,0.0
1987,10,1,0.0,0.0
1987,10,2,23675.0,0.003801927830336542
1987,10,3,1.019194e6,0.1636706244186704
1987,10,4,3.880339e6,0.6231370152160619
1987,10,5,1.303469e6,0.2093218613339363
1987,10,6,427.0,6.857120099487659e-5
1987,10,7,0.0,0.0
1987,10,8,0.0,0.0
1987,11,0,0.0,0.0
1987,11,1,0.0,0.0
1987,11,2,4635.0,0.0007443267367945035
1987,11,3,1.102937e6,0.17711876981659533
1987,11,4,2.161881e6,0.3471727788712056
1987,11,5,2.818959e6,0.4526918130803661
1987,11,6,138692.0,0.022272311495038465
1987,11,7,0.0,0.0
1987,11,8,0.0,0.0
1987,12,0,0.0,0.0
1987,12,1,0.0,0.0
1987,12,2,613244.0,0.0984798069857192
1987,12,3,3.040595e6,0.4882839599274398
1987,12,4,2.537564e6,0.407503070448157
1987,12,5,35701.0,0.005733162638684049
1987,12,6,0.0,0.0
1987,12,7,0.0,0.0
1987,12,8,0.0,0.0
1988,1,0,0.0,0.0
1988,1,1,0.0,0.0
1988,1,2,139690.0,0.022432578611181055
1988,1,3,1.194267e6,0.19178529859144797
1988,1,4,2.311139e6,0.37114186626720863
1988,1,5,1.666101e6,0.2675563151024939
1988,1,6,833559.0,0.13385981669809915
1988,1,7,82348.0,0.013224124729569315
1988,1,8,0.0,0.0
1988,2,0,0.0,0.0
1988,2,1,0.0,0.0
1988,2,2,0.0,0.0
1988,2,3,8372.0,0.0013444451867192196
1988,2,4,71461.0,0.011475799986639054
1988,2,5,1.588277e6,0.25505869180922625
1988,2,6,3.355852e6,0.538910543328006
1988,2,7,1.203142e6,0.1932105196894094
1988,2,8,0.0,0.0
1988,3,0,0.0,0.0
1988,3,1,0.0,0.0
1988,3,2,0.0,0.0
1988,3,3,0.0,0.0
1988,3,4,1.420411e6,0.2281013774621397
1988,3,5,3.911236e6,0.6280987116964805
1988,3,6,895457.0,0.14379991084137989
1988,3,7,0.0,0.0
1988,3,8,0.0,0.0
1988,4,0,0.0,0.0
1988,4,1,0.0,0.0
1988,4,2,0.0,0.0
1988,4,3,0.0,0.0
1988,4,4,0.0,0.0
1988,4,5,784629.0,0.12600223153491574
1988,4,6,2.61074e6,0.41925427935682463
1988,4,7,2.493643e6,0.40044987204324833
1988,4,8,338092.0,0.054293617065011276
1988,5,0,0.0,0.0
1988,5,1,0.0,0.0
1988,5,2,0.0,0.0
1988,5,3,530579.0,0.08520477576735509
1988,5,4,1.534968e6,0.24649789051218673
1988,5,5,1.647065e6,0.26449935636212274
1988,5,6,957352.0,0.15373952321978243
1988,5,7,1.252029e6,0.2010611995560055
1988,5,8,305111.0,0.04899725458254752
1988,6,0,0.0,0.0
1988,6,1,0.0,0.0
1988,6,2,0.0,0.0
1988,6,3,27721.0,0.004451668062714225
1988,6,4,315523.0,0.05066929988643196
1988,6,5,819890.0,0.13166473532479947
1988,6,6,1.74043e6,0.279492682312677
1988,6,7,1.582e6,0.2540506790957723
1988,6,8,1.74154e6,0.2796709353176051
1988,7,0,0.0,0.0
1988,7,1,0.0,0.0
1988,7,2,0.0,0.0
1988,7,3,0.0,0.0
1988,7,4,0.0,0.0
1988,7,5,236091.0,0.037913450618457634
1988,7,6,1.421757e6,0.22831752930415167
1988,7,7,2.874873e6,0.4616709468799622
1988,7,8,1.694383e6,0.2720980731974285
1988,8,0,0.0,0.0
1988,8,1,0.0,0.0
1988,8,2,0.0,0.0
1988,8,3,8372.0,0.0013444451867192196
1988,8,4,646344.0,0.1037952794750176
1988,8,5,3.999109e6,0.6422100867433722
1988,8,6,1.573279e6,0.25265018859489097
1988,8,7,0.0,0.0
1988,8,8,0.0,0.0
1988,9,0,0.0,0.0
1988,9,1,443918.0,0.07128803373124971
1988,9,2,1.644675e6,0.2641155503425027
1988,9,3,2.309914e6,0.3709451456086168
1988,9,4,1.781693e6,0.28611903703551445
1988,9,5,46904.0,0.007532233282116374
1988,9,6,0.0,0.0
1988,9,7,0.0,0.0
1988,9,8,0.0,0.0
1988,10,0,0.0,0.0
1988,10,1,334918.0,0.05378390982389245
1988,10,2,5.429859e6,0.8719717865640272
1988,10,3,462327.0,0.07424430361208036
